STNID,LATITUDE,LONGITUDE
722730-03124,31.588,-110.34400000000001
722735-93026,31.458000000000002,-109.60600000000001
722740-23160,32.132,-110.956
722745-23109,32.167,-110.883
722747-99999,32.85,-109.633
722748-99999,32.95,-111.767
722780-23183,33.428,-112.004
722784-99999,33.688,-112.083
722785-23111,33.55,-112.367
722788-99999,33.417,-112.383
722789-99999,33.623,-111.911
722800-23195,32.667,-114.60000000000001
722810-23199,32.832,-115.664
722859-99999,33.45,-117.68
722860-23119,33.9,-117.25
722865-93180,34.067,-117.65
722867-23156,33.933,-116.967
722868-99999,33.833,-116.5
722880-23152,34.2,-118.36500000000001
722885-99999,34.017,-118.45
722886-23130,34.212,-118.491
722888-99999,44.9,-84.717
722890-93136,34.233000000000004,-118.06700000000001
722895-99999,34.667,-120.467
722897-99999,35.233000000000004,-120.633
722900-23188,32.734,-117.183
722903-99999,32.816,-117.14
722904-23196,32.567,-116.967
722905-99999,32.67,-117.48
722906-93112,32.692,-117.21000000000001
722907-99999,32.833,-116.967
722909-93115,32.568,-117.117
722910-93116,33.234,-119.456
722913-99999,33.97,-118.43
722914-99999,32.77,-117.23
722919-99999,32.980000000000004,-117.27
722925-93117,33.023,-118.58800000000001
722926-03154,33.304,-117.355
722929-99999,33.22,-117.4
722930-93107,32.867,-117.133
722950-23174,33.938,-118.387
722953-99999,35.059,-118.152
722954-99999,34.02,-118.82000000000001
722955-03122,33.802,-118.342
722958-99999,33.72,-118.28
722970-23129,33.812,-118.147
722973-99999,33.6,-117.88
722975-93106,33.783,-118.05
722976-99999,33.867,-117.983
722977-93184,33.68,-117.867
723013-13748,34.268,-77.9
723030-13714,35.174,-79.009
723034-99999,35.033,-79.5
723035-99999,34.983000000000004,-78.883
723040-93729,35.233000000000004,-75.622
723046-99999,35.917,-75.7
723060-13722,35.892,-78.782
723065-99999,35.635,-77.383
723066-13713,35.344,-77.965
723067-93726,35.317,-77.633
723068-99999,35.85,-77.883
723069-99999,34.833,-77.617
723075-13769,36.817,-76.033
723080-13737,36.904,-76.193
723083-13763,36.698,-76.903
723085-13750,36.937,-76.289
723086-99999,37.133,-76.483
723087-93735,37.133,-76.60000000000001
723089-13755,37.933,-75.383
723090-13754,34.9,-76.883
723095-93719,35.068,-77.048
723096-93727,34.708,-77.44
723097-93743,34.683,-77.033
723100-13883,33.942,-81.118
723105-93833,33.921,-80.801
723106-13744,34.188,-79.73100000000001
723110-13873,33.948,-83.327
723119-13886,34.849000000000004,-82.35000000000001
723120-03870,34.906,-82.21300000000001
723125-93846,34.498,-82.71000000000001
723140-13881,35.223,-80.95400000000001
723143-99999,35.233000000000004,-79.383
723145-03810,35.743,-81.382
723150-03812,35.432,-82.538
723170-13723,36.097,-79.943
723183-13877,36.473,-82.404
723193-93807,36.133,-80.224
723200-93801,34.348,-85.162
723230-03856,34.644,-86.786
723235-13896,34.744,-87.60000000000001
723240-13882,35.034,-85.2
723260-13891,35.818,-83.986
723265-03847,35.951,-85.081
723270-13897,36.111000000000004,-86.688
723273-99999,36,-86.517
723300-99999,36.767,-90.467
723306-13825,33.65,-88.45
723307-99999,33.45,-88.583
723320-93862,34.262,-88.771
723340-13893,35.056,-89.986
723345-93839,35.35,-89.867
723346-03811,35.593,-88.917
723347-03809,36,-89.409
723400-99999,34.833,-92.25
723403-13963,34.727000000000004,-92.236
723405-03930,34.917,-92.15
723406-99999,36.125,-90.925
723407-99999,35.833,-90.633
723415-99999,34.467,-93.083
723416-99999,34.6,-91.56700000000001
723417-93988,34.18,-91.934
723418-13977,33.456,-93.988
723419-93992,33.221000000000004,-92.81400000000001
723434-99999,36.183,-94.117
723440-13964,35.333,-94.365
723443-99999,36.2,-94.483
723444-99999,36.346000000000004,-94.21900000000001
723445-93993,36.01,-94.168
723446-13971,36.267,-93.157
723447-99999,36.300000000000004,-92.467
723448-99999,35.726,-91.647
723449-99999,36.372,-94.107
723489-03935,37.225,-89.571
723495-13987,37.152,-94.495
723510-13966,33.979,-98.493
723520-13902,34.65,-99.267
723525-93986,34.989,-99.053
723527-13975,36.297000000000004,-99.769
723530-13967,35.388,-97.60000000000001
723535-99999,36.333,-97.917
723536-99999,36.383,-97.783
723540-13919,35.417,-97.383
723544-99999,35.533,-97.65
723546-13969,36.737,-97.102
723550-13945,34.65,-98.4
723555-99999,34.300000000000004,-97.017
723560-13968,36.199,-95.878
723565-99999,36.767,-96.017
723566-93950,34.882,-95.782
723575-99999,34.567,-98.417
723600-23051,36.448,-103.154
723604-23007,34.427,-100.283
723625-93057,35.165,-107.902
723627-23081,35.509,-108.793
723630-23047,35.22,-101.717
723650-23050,35.042,-106.61500000000001
723654-99999,35.879,-106.269
723655-99999,34.980000000000004,-106.05
723656-23049,35.611000000000004,-106.096
723658-23090,36.744,-108.229
723663-99999,36.45,-105.667
723675-99999,36.883,-106.56700000000001
723676-23048,35.181,-103.601
723677-23054,35.656,-105.139
723700-99999,35.259,-113.95
723710-99999,36.933,-111.45
723723-23184,34.649,-112.422
723740-23194,35.028,-110.72200000000001
723745-93139,34.257,-111.339
723747-99999,34.267,-110
723755-03103,35.144,-111.666
723783-99999,35.95,-112.133
723788-99999,35.15,-114.56700000000001
723805-23179,34.768,-114.61800000000001
723810-23114,34.9,-117.867
723815-23161,34.854,-116.787
723816-03159,34.741,-118.21300000000001
723820-23182,34.629,-118.083
723830-23187,34.744,-118.72500000000001
723840-23155,35.434,-119.055
723860-23169,36.072,-115.163
723870-03160,36.621,-116.028
723890-93193,36.78,-119.72
723894-99999,37.624,-118.83800000000001
723895-99999,36.033,-119.06700000000001
723896-99999,36.317,-119.4
723900-99999,35.67,-121.28
723910-93111,34.124,-119.123
723923-99999,34.4,-119.7
723924-99999,34.25,-119.25
723925-23190,34.424,-119.842
723926-99999,34.217,-119.10000000000001
723927-93110,34.2,-119.20400000000001
723929-99999,34.17,-119.22
723930-99999,34.75,-120.56700000000001
723940-23273,34.894,-120.452
723965-93209,35.669000000000004,-120.629
724010-13740,37.512,-77.32300000000001
724014-99999,37.183,-77.5
724016-93736,38.137,-78.455
724017-99999,37.35,-78.433
724020-93739,37.937,-75.46600000000001
724026-99999,37.647,-75.761
724030-93738,38.935,-77.447
724033-99999,38.267,-77.45
724035-13773,38.504,-77.305
724036-99999,38.721000000000004,-77.515
724037-93728,38.717,-77.183
724040-13721,38.300000000000004,-76.417
724045-93720,38.341,-75.51
724050-13743,38.847,-77.035
724057-99999,39.467,-76.167
724060-93721,39.173,-76.684
724064-99999,39.733000000000004,-77.433
724066-99999,39.7,-77.717
724067-99999,39.317,-76.4
724070-93730,39.452,-74.56700000000001
724075-13735,39.366,-75.078
724080-13739,39.873,-75.227
724084-04739,40.183,-74.117
724085-94732,40.079,-75.013
724086-14793,40.2,-75.15
724087-99999,40.1,-74.02
724088-13707,39.133,-75.467
724089-13781,39.673,-75.601
724090-14780,40.033,-74.35000000000001
724094-99999,40.883,-74.283
724095-14792,40.277,-74.816
724096-14706,40.017,-74.60000000000001
724097-99999,40.800000000000004,-74.417
724099-99999,40.47,-74.02
724100-13733,37.321,-79.206
724105-99999,38.267,-78.9
724106-13728,36.573,-79.33500000000001
724110-13741,37.317,-79.974
724113-99999,37.208,-80.408
724115-99999,37.95,-79.833
724116-13868,37.133,-80.683
724117-99999,36.983000000000004,-82.533
724120-03872,37.784,-81.123
724125-99999,37.296,-81.208
724127-99999,37.858000000000004,-80.399
724140-13866,38.38,-81.59100000000001
724170-13729,38.89,-79.855
724175-99999,39.283,-80.217
724176-13736,39.65,-79.921
724177-13734,39.404,-77.97500000000001
724210-93814,39.044000000000004,-84.672
724220-93820,38.034,-84.611
724230-93821,38.177,-85.73100000000001
724235-13810,38.230000000000004,-85.663
724236-03889,37.591,-83.31400000000001
724237-99999,37.733000000000004,-87.167
724238-99999,37.800000000000004,-87.683
724240-13807,37.9,-85.967
724243-03849,37.09,-84.069
724250-03860,38.365,-82.555
724273-03804,39.339,-81.444
724275-14894,40.17,-80.644
724280-14821,39.991,-82.877
724285-99999,39.800000000000004,-82.917
724286-93824,39.946,-81.893
724288-99999,40.067,-83.06700000000001
724289-99999,41.7,-83.45
724290-93815,39.906,-84.21900000000001
724295-03867,39.833,-83.833
724297-93812,39.106,-84.416
724320-93817,38.050000000000004,-87.515
724335-99999,38.317,-88.867
724336-99999,37.767,-89.25
724338-13802,38.550000000000004,-89.85000000000001
724339-99999,37.75,-89.017
724340-13994,38.752,-90.373
724345-03966,38.658,-90.656
724350-03816,37.056,-88.774
724354-99999,37.053,-84.616
724363-13803,39.267,-85.9
724365-99999,38.25,-86.95
724373-93823,39.45,-87.3
724375-99999,39.133,-86.617
724380-93819,39.725,-86.282
724385-99999,40.117,-85.617
724386-14835,40.412,-86.947
724390-93822,39.845,-89.684
724395-99999,38.883,-90.033
724396-93989,39.937,-91.19200000000001
724397-99999,40.467,-88.917
724400-13995,37.24,-93.39
724450-03945,38.817,-92.215
724455-14938,40.097,-92.547
724456-13997,38.131,-91.768
724457-03938,37.75,-92.15
724458-99999,38.583,-92.15
724459-99999,38.1,-92.55
724460-03947,39.297000000000004,-94.73100000000001
724463-13988,39.128,-94.589
724466-03929,38.844,-94.56
724467-13930,38.717,-93.55
724468-99999,38.85,-94.733
724475-93909,38.822,-94.89
724490-13993,39.768,-94.91
724500-03928,37.648,-97.43
724504-99999,37.75,-97.217
724505-03923,37.617,-97.267
724506-13986,38.068,-97.861
724507-13981,37.671,-95.485
724509-99999,38.058,-97.267
724510-13985,37.771,-99.96900000000001
724515-23064,37.922000000000004,-100.724
724516-99999,37.033,-100.95
724517-99999,38.35,-98.867
724518-99999,38.842,-99.273
724520-03957,37.284,-98.553
724550-13947,39.050000000000004,-96.767
724555-99999,39.133,-96.667
724556-13989,38.329,-96.19500000000001
724560-13996,39.072,-95.626
724565-13920,38.941,-95.651
724567-13921,39.367,-94.917
724580-13984,39.551,-97.651
724585-93997,38.873,-98.809
724586-03919,38.78,-97.644
724604-99999,37.001,-101.88
724620-23061,37.439,-105.86200000000001
724625-99999,37.14,-107.76
724627-99999,37.95,-107.917
724635-23067,38.049,-103.513
724640-93058,38.289,-104.506
724645-23070,37.262,-104.33200000000001
724650-23065,39.367,-101.693
724655-93990,39.374,-99.83
724660-93037,38.809,-104.68900000000001
724665-93010,39.273,-103.667
724666-99999,39.57,-104.849
724670-03017,39.833,-104.658
724673-99999,39.22,-106.31700000000001
724675-23063,39.65,-106.917
724676-99999,39.223,-106.869
724677-99999,38.534,-106.933
724678-99999,40.516,-106.866
724680-94015,38.678,-104.757
724690-23062,39.75,-104.867
724695-23036,39.717,-104.75
724697-99999,40.588,-105.042
724698-24015,40.174,-103.215
724699-99999,39.917,-105.117
724700-99999,39.617,-110.75
724723-93025,37.583,-109.483
724725-99999,40.32,-112.3
724735-23170,38.371,-110.715
724754-99999,37.091,-113.593
724755-93129,37.707,-113.09700000000001
724756-23159,37.701,-112.149
724760-23066,39.134,-108.541
724765-99999,38.517,-107.894
724767-99999,37.300000000000004,-108.633
724768-99999,40.437,-104.633
724769-99999,40.45,-105.017
724773-99999,39,-110.17
724795-99999,39.33,-112.58
724796-99999,41.783,-111.85000000000001
724800-23157,37.371,-118.35900000000001
724810-23203,37.383,-120.56700000000001
724815-99999,37.285000000000004,-120.514
724830-23232,38.507,-121.49600000000001
724836-23208,38.667,-121.4
724837-93216,39.133,-121.433
724838-99999,39.1,-121.56700000000001
724839-93225,38.701,-121.595
724855-23153,38.050000000000004,-117.09100000000001
724860-23154,39.295,-114.84700000000001
724870-99999,37.617,-114.517
724880-23185,39.508,-119.768
724885-93102,39.417,-118.717
724915-23245,36.583,-121.833
724917-23233,36.664,-121.608
724920-23237,37.89,-121.226
724926-23258,37.625,-120.955
724930-23230,37.718,-122.233
724935-99999,37.667,-122.117
724936-23254,37.992,-122.055
724937-99999,37.461,-122.11500000000001
724938-99999,37.512,-122.25
724940-23234,37.62,-122.366
724945-23293,37.359,-121.924
724946-99999,37.333,-121.81700000000001
724957-99999,38.517,-122.81700000000001
725020-14734,40.683,-74.169
725025-94741,40.859,-74.056
725027-99999,41.509,-72.82900000000001
725029-99999,41.479,-73.135
725030-14732,40.779,-73.88
725035-04781,40.794000000000004,-73.102
725036-14757,41.626,-73.882
725037-94745,41.062,-73.705
725038-14714,41.5,-74.10000000000001
725039-99999,40.95,-73.4
725040-94702,41.164,-73.127
725045-14758,41.259,-72.889
725046-14707,41.328,-72.049
725054-99999,41.921,-71.483
725055-99999,41.67,-69.95
725056-99999,41.35,-71.467
725057-99999,41.28,-70.08
725058-94793,41.168,-71.578
725063-14756,41.253,-70.061
725064-99999,41.909,-70.729
725065-99999,41.667,-70.95
